Initializing V620 PPO Trainer...
ROCm GPU detected: AMD Radeon PRO V620
Training server listening on port 5555
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
Episode finished | Reward: -15.03 | Avg (100): -6.47
Episode finished | Reward: -318.01 | Avg (100): -9.60
Episode finished | Reward: -304.01 | Avg (100): -12.59
Episode finished | Reward: -304.01 | Avg (100): -15.58
Episode finished | Reward: -304.01 | Avg (100): -18.57
Episode finished | Reward: -304.01 | Avg (100): -21.56
Episode finished | Reward: -304.01 | Avg (100): -24.55
Episode finished | Reward: -304.01 | Avg (100): -27.54
Episode finished | Reward: -304.01 | Avg (100): -30.53
Episode finished | Reward: -304.01 | Avg (100): -33.52
Episode finished | Reward: -304.01 | Avg (100): -36.51
Episode finished | Reward: -304.01 | Avg (100): -39.50
Episode finished | Reward: 96.33 | Avg (100): -38.49
Episode finished | Reward: -5.01 | Avg (100): -38.49
Episode finished | Reward: -5.01 | Avg (100): -38.49
Episode finished | Reward: -5.01 | Avg (100): -38.49
Episode finished | Reward: -5.01 | Avg (100): -38.49
Episode finished | Reward: -5.01 | Avg (100): -38.49
Episode finished | Reward: -5.01 | Avg (100): -38.49
Episode finished | Reward: -5.77 | Avg (100): -38.50
Episode finished | Reward: -5.96 | Avg (100): -38.51
Episode finished | Reward: -5.35 | Avg (100): -38.51
Episode finished | Reward: 50.91 | Avg (100): -37.95
Episode finished | Reward: -239.00 | Avg (100): -40.29
Episode finished | Reward: -22.64 | Avg (100): -40.47
Episode finished | Reward: -1.87 | Avg (100): -40.43
Episode finished | Reward: -5.01 | Avg (100): -40.43
Episode finished | Reward: -5.01 | Avg (100): -40.43
Episode finished | Reward: -5.01 | Avg (100): -40.43
Episode finished | Reward: -5.01 | Avg (100): -40.43
Episode finished | Reward: -297.44 | Avg (100): -43.36
Episode finished | Reward: -76.88 | Avg (100): -44.08
Episode finished | Reward: -16.82 | Avg (100): -44.20
Episode finished | Reward: -6.40 | Avg (100): -44.21
Episode finished | Reward: -5.80 | Avg (100): -44.22
Episode finished | Reward: -5.07 | Avg (100): -44.22
Episode finished | Reward: -5.01 | Avg (100): -44.22
Episode finished | Reward: -5.07 | Avg (100): -44.22
Episode finished | Reward: -5.01 | Avg (100): -44.22
Episode finished | Reward: -5.01 | Avg (100): -44.22
Episode finished | Reward: -5.50 | Avg (100): -44.22
